Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses,MAP2K4,IL12A,TLR8,C1QA,CCL5,C1QB,IL6,EIF2S1,IFIH1,MBL2,TLR1,CREB1,CASP1,TLR7,C3,NLRP3,C5AR1,IL10,MAPK8,TLR9,TLR2,TLR4,TLR6,IL1B,TNF,C3AR1,PRKCB,,,,,,,,,,,,
Hepatic Fibrosis / Hepatic Stellate Cell Activation,IGFBP4,IL1A,TGFBR1,MYL2,CCL5,IL6,IGF1,TIMP1,TGFB1,ECE1,TNFRSF1B,IL4,IFNG,CXCL9,TNFRSF1A,IL10,IL6R,IGFBP5,MMP2,IL1R1,TLR4,LY96,CSF1,IGFBP3,CCL21,TGFB3,CD14,IL1B,TNF,MMP9,,,,,,,,,
"Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis",MAP2K6,MAP2K4,IL1A,MMP3,AXIN1,CEBPD,TLR8,CCL5,IL6,FCGR1A,CCND1,MYC,TGFB1,TLR1,CREB1,TLR7,LTBR,NOS2,TNFRSF1B,FCGR3A,TNFSF11,C5AR1,TNFRSF1A,IL10,IL6R,STAT3,IL1R1,TLR9,IL7,TLR2,TLR4,FOS,IL1RN,CSF1,TLR6,IL1B,TNF,LRP1,PRKCB
Granulocyte Adhesion and Diapedesis,IL1A,MMP3,CCL17,CCL5,CXCL10,Ccl8,CXCR2,Ccl2,MMP11,TNFRSF1B,CCL19,CXCL9,C5AR1,TNFRSF1A,Cxcl15,CXCR4,MMP2,IL1R1,CCL11,CXCL6,ITGB2,ITGAM,CCL4,CCL7,IL1RN,CCL21,CCL3L1/CCL3L3,IL1B,TNF,MMP9,HSPB1,,,,,,,,
Acute Phase Response Signaling,MAP2K4,MAP2K6,SERPING1,FTL,IL1A,C3,TNFRSF1A,C1S,IL6R,MAPK8,VWF,SERPINA3,STAT3,IL1R1,IL6,PLG,C1R,C4A/C4B,FOS,HMOX1,MBL2,TF,IL1RN,CRP,CFB,IL1B,SERPINA1,TNFRSF1B,TNF,C2,,,,,,,,,
Communication between Innate and Adaptive Immune Cells,B2M,IFNG,IL1A,IL12A,IL10,TLR8,HLA-DRB1,IL6,CCL5,TLR9,CXCL10,TLR2,TLR4,CCL4,IL1RN,HLA-DRA,TLR1,TLR6,TLR7,FCER1G,CCL3L1/CCL3L3,IL1B,TNF,IL4,,,,,,,,,,,,,,,
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis,IFNG,TNFSF11,IL1A,IL12A,IL10,TLR8,HLA-DRB1,IL6,TLR9,TLR2,TLR4,IL1RN,CSF1,TGFB1,HLA-DRA,TLR1,TLR6,CCL21,TLR7,FCER1G,IL1B,TNF,IL4,,,,,,,,,,,,,,,,
Colorectal Cancer Metastasis Signaling,MAP2K4,TGFBR1,MMP3,AXIN1,TLR8,IL6,CCND1,PTGER1,MYC,TGFB1,TLR1,TLR7,MMP11,NOS2,PTGER4,IFNG,TNFRSF1A,IL6R,MAPK8,MMP2,STAT3,TLR9,TLR2,TLR4,FOS,TLR6,TGFB3,PTGS2,JAK3,TNF,LRP1,MMP9,,,,,,,
Agranulocyte Adhesion and Diapedesis,IL1A,MYL2,MMP3,CCL17,CCL5,CXCL10,CXCR2,Ccl8,Ccl2,MMP11,CCL19,CXCL9,C5AR1,CXCR4,Cxcl15,TNFRSF1A,MMP2,IL1R1,CCL11,CXCL6,ITGB2,CCL4,CCL7,IL1RN,CCL21,CCL3L1/CCL3L3,IL1B,TNF,MMP9,,,,,,,,,,
LXR/RXR Activation,APOE,IL1A,C3,MSR1,TNFRSF1A,CD36,IL6,IL1R1,ABCA1,C4A/C4B,TLR4,LY96,CCL7,TF,IL1RN,CD14,IL1B,S100A8,SERPINA1,PTGS2,TNFRSF1B,NOS2,TNF,MMP9,,,,,,,,,,,,,,,
TREM1 Signaling,TREM1,NLRP3,TYROBP,IL10,TLR8,IL6,STAT3,TLR9,FCGR2B,TLR2,TLR4,MPO,CCL7,TLR1,TLR6,CASP1,TLR7,IL1B,TNF,ITGAX,,,,,,,,,,,,,,,,,,,
